PRINCIPALELE_CULTURI,FORME_DE_PROPRIETATE,REF_AREA,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
Grau - total,Sector privat,Braila,1993,Kilograme,2206.0
Grau - total,Sector privat,Hunedoara,1993,Kilograme,2307.0
Grau - total,din care: Exploatatii agricole individuale,Tulcea,1993,Kilograme,1932.0
Grau - total,Sector privat,Mun. Bucuresti -incl. SAI,1993,Kilograme,2428.0
Grau - total,Sector privat,Vrancea,1993,Kilograme,2506.0
Grau - total,din care: Exploatatii agricole individuale,Timis,1993,Kilograme,2244.0
Grau - total,din care: Exploatatii agricole individuale,Teleorman,1993,Kilograme,2204.0
Grau - total,din care: Exploatatii agricole individuale,Braila,1993,Kilograme,2206.0
Grau - total,Sector privat,Neamt,1993,Kilograme,3468.0
Grau - total,Sector privat,Brasov,1993,Kilograme,2904.0
Grau - total,din care: Exploatatii agricole individuale,Neamt,1993,Kilograme,3467.0
Grau - total,din care: Exploatatii agricole individuale,Dambovita,1993,Kilograme,1802.0
Grau - total,din care: Exploatatii agricole individuale,Brasov,1993,Kilograme,2730.0
Grau - total,Sector privat,Timis,1993,Kilograme,2425.0
Grau - total,Sector privat,Dolj,1993,Kilograme,1531.0
Grau - total,din care: Exploatatii agricole individuale,Prahova,1993,Kilograme,2544.0
Grau - total,Sector privat,Arges,1993,Kilograme,1974.0
Grau - total,Sector privat,Suceava,1993,Kilograme,2634.0
Grau - total,din care: Exploatatii agricole individuale,Calarasi,1993,Kilograme,2638.0
Grau - total,din care: Exploatatii agricole individuale,Bihor,1993,Kilograme,1895.0
Grau - total,din care: Exploatatii agricole individuale,Suceava,1994,Kilograme,2883.0
Grau - total,Sector privat,Arges,1994,Kilograme,2816.0
Grau - total,din care: Exploatatii agricole individuale,Calarasi,1994,Kilograme,1759.0
Grau - total,Sector privat,Covasna,1994,Kilograme,2864.0
Grau - total,din care: Exploatatii agricole individuale,Covasna,1994,Kilograme,2817.0
Grau - total,din care: Exploatatii agricole individuale,Bihor,1994,Kilograme,2819.0
Grau - total,Sector privat,Gorj,1994,Kilograme,3854.0
Grau - total,Sector privat,Bihor,1994,Kilograme,3211.0
Grau - total,din care: Exploatatii agricole individuale,Constanta,1994,Kilograme,1246.0
Grau - total,Sector privat,Calarasi,1994,Kilograme,1778.0
Grau - total,Sector privat,Vaslui,1994,Kilograme,1586.0
Grau - total,din care: Exploatatii agricole individuale,Vaslui,1994,Kilograme,1634.0
Grau - total,din care: Exploatatii agricole individuale,Mun. Bucuresti -incl. SAI,1994,Kilograme,1905.0
Grau - total,Sector privat,Harghita,1994,Kilograme,2201.0
Grau - total,din care: Exploatatii agricole individuale,Harghita,1994,Kilograme,2152.0
